,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagenan,MasVnrAreanan,GarageYrBltnan
10,11,20,2,4.248495242049359,9.323669057283185,0,1,3,3,0,3,0,18,2,0,0,1,5,5,43,43,1,0,3,3,2,0.0,3,3,1,4,4,4,5,906,6,0,134,1040,0,0,1,3,6.946975992135418,0,0,6.946975992135418,1,0,1,0,3,1,3,5,4,0,3,3,43.0,3,1,384,3,3,2,0,0,0,0,0,0,0,2,1,0,2,2008,3,2,11.771436160121729,0,0,0
11,12,60,2,4.442651256490317,9.386308454797962,0,1,0,3,0,3,0,14,2,0,0,2,9,5,1,0,1,0,10,10,4,286.0,0,3,2,0,4,4,2,998,6,0,177,1175,0,0,1,3,7.074963197966044,1142,0,7.751045117971802,1,0,3,0,4,1,0,11,4,2,2,2,1.0,0,3,736,3,3,2,147,21,0,0,0,0,0,2,1,0,7,2006,1,3,12.751299696013497,0,0,0
12,13,20,2,4.23410650459726,9.470240063415512,0,1,1,3,0,3,0,18,2,0,0,1,5,6,46,46,1,0,3,5,2,0.0,3,3,1,4,4,4,0,737,6,0,175,912,0,4,1,3,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,3,4,4,0,3,3,46.0,3,1,352,3,3,2,140,0,0,0,176,0,0,2,1,0,9,2008,3,2,11.877568578558138,1,0,0
13,14,20,2,4.51085950651685,9.273502946933823,0,1,0,3,0,3,0,4,2,0,0,1,7,5,1,0,0,0,8,8,4,306.0,1,3,2,2,4,0,6,0,6,0,1494,1494,0,0,1,3,7.309212365692763,0,0,7.309212365692763,0,0,2,0,3,1,2,7,4,1,2,0,1.0,2,3,840,3,3,2,160,33,0,0,0,0,0,2,1,0,8,2007,1,3,12.540757571577291,0,0,0
14,15,20,2,4.23410650459726,9.298351249298896,0,1,0,3,0,0,0,11,2,0,0,1,6,5,48,48,1,0,4,4,1,212.0,3,3,1,4,4,4,1,733,6,0,520,1253,0,4,1,3,7.133295954896068,0,0,7.133295954896068,1,0,1,1,2,1,3,5,4,1,1,0,48.0,2,1,352,3,3,2,0,213,176,0,0,0,0,1,1,0,5,2008,3,2,11.964001084330445,1,0,0
15,16,45,3,3.9318256327243257,8.719317375506371,0,1,3,3,0,0,0,2,2,0,0,3,7,8,78,6,0,0,9,9,2,0.0,3,3,0,4,4,4,6,0,6,0,832,832,0,0,1,0,6.74993119378857,0,0,6.74993119378857,0,0,1,0,2,1,3,5,4,0,3,3,16.0,3,2,576,3,3,2,48,112,0,0,0,0,0,0,1,0,7,2007,3,2,11.790557201568507,0,0,0
16,17,20,2,4.23410650459726,9.327323087461798,0,1,0,3,0,1,0,11,2,0,0,1,6,7,40,40,0,0,9,9,1,180.0,3,3,1,4,4,4,0,578,6,0,426,1004,0,0,1,3,6.911747300251674,0,0,6.911747300251674,1,0,1,0,2,1,3,5,4,1,5,0,40.0,0,2,480,3,3,2,0,0,0,0,0,0,0,2,0,700,3,2010,3,2,11.911701584927597,1,0,0
17,18,90,2,4.276666119016055,9.286467732363734,0,1,3,3,0,3,0,18,2,0,2,1,4,5,39,39,0,0,4,4,2,0.0,3,3,4,3,2,2,4,0,3,0,0,0,0,4,1,3,7.16703787691222,0,0,7.16703787691222,0,0,2,0,2,2,3,6,4,0,3,5,39.0,3,2,516,3,3,2,0,0,0,0,0,0,0,2,0,500,10,2006,3,2,11.407564949312402,0,0,0
18,19,20,2,4.189654742026425,9.524786081697178,0,1,3,3,0,3,0,19,5,0,0,1,5,5,4,4,0,0,8,8,2,0.0,3,3,2,4,4,4,2,646,6,0,468,1114,0,0,1,3,7.01571242048723,0,0,7.01571242048723,1,0,1,1,3,1,2,6,4,0,3,3,4.0,3,2,576,3,3,2,0,102,0,0,0,0,0,2,1,0,6,2008,3,2,11.976659481202368,0,0,0
19,20,20,2,4.248495242049359,8.930626469173578,0,1,3,3,0,3,0,11,2,0,0,1,5,6,51,44,1,0,1,5,2,0.0,3,3,1,4,4,4,3,504,6,0,525,1029,0,4,1,3,7.199678345691172,0,0,7.199678345691172,0,0,1,0,3,1,3,6,0,0,3,0,51.0,3,1,294,3,3,2,0,0,0,0,0,0,0,3,1,0,5,2009,0,0,11.842229212112828,0,0,0
20,21,60,2,4.61512051684126,9.5620530240851,0,1,0,3,0,0,0,14,2,0,0,2,8,5,1,0,0,0,8,8,1,380.0,1,3,2,0,4,0,6,0,6,0,1158,1158,0,0,1,3,7.05444965813294,1218,0,7.773173680482536,0,0,3,1,4,1,2,9,4,1,2,2,1.0,2,3,853,3,3,2,240,154,0,0,0,0,0,2,1,0,11,2006,1,3,12.692503112461443,0,0,0
21,22,45,3,4.04305126783455,8.915835074176277,0,0,3,0,0,3,0,8,2,0,0,3,7,7,77,57,0,0,9,9,2,0.0,3,3,2,4,4,4,6,0,6,0,637,637,0,0,1,1,7.010311867307229,0,0,7.010311867307229,0,0,1,0,3,1,2,6,4,1,2,0,77.0,3,1,280,3,3,0,0,0,205,0,0,0,0,0,1,0,6,2007,3,2,11.845102777308561,0,0,0
22,23,20,2,4.31748811353631,9.184201714366488,0,1,3,3,0,3,0,4,2,0,0,1,8,5,6,6,1,0,8,8,1,281.0,1,3,2,2,4,4,6,0,6,0,1777,1777,0,0,1,3,7.492760300922379,0,0,7.492760300922379,0,0,2,0,3,1,2,7,4,1,2,0,6.0,2,2,534,3,3,2,171,159,0,0,0,0,0,2,1,0,9,2008,3,2,12.345834587905333,0,0,0
23,24,120,3,3.784189633918261,8.348537825386098,0,1,3,3,0,3,0,9,2,0,4,1,5,7,31,31,0,0,2,2,2,0.0,3,3,2,2,4,4,2,840,6,0,200,1040,0,4,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,3,6,4,1,5,0,31.0,3,2,572,3,3,2,100,110,0,0,0,0,0,2,1,0,6,2007,3,2,11.77452020265869,0,0,0
24,25,20,2,4.23410650459726,9.017483513266844,0,1,0,3,0,3,0,18,2,0,0,1,5,8,42,9,0,0,5,5,2,0.0,3,1,1,4,4,3,5,188,0,668,204,1060,0,0,1,3,6.966024187106113,0,0,6.966024187106113,1,0,1,0,3,1,2,6,4,1,5,0,42.0,3,1,270,3,3,2,406,90,0,0,0,0,0,3,1,0,5,2010,3,2,11.944707881395766,1,0,0
25,26,20,2,4.700480365792417,9.563107691083898,0,1,3,3,0,0,0,14,2,0,0,1,8,5,2,2,0,0,8,8,4,640.0,1,3,2,2,4,4,6,0,6,0,1566,1566,0,0,1,3,7.3777589082278725,0,0,7.3777589082278725,0,0,2,0,3,1,2,7,4,1,2,0,2.0,2,3,890,3,3,2,0,56,0,0,0,0,0,2,1,0,7,2009,3,2,12.454103912352162,0,0,0
26,27,20,2,4.0943445622221,8.881836305004146,0,1,3,3,0,0,0,11,2,0,0,1,5,7,59,10,0,0,9,9,2,0.0,3,3,1,4,4,3,1,234,5,486,180,900,0,4,1,3,6.802394763324311,0,0,6.802394763324311,0,1,1,0,3,1,2,5,4,0,3,3,5.0,3,2,576,3,3,2,222,32,0,0,0,0,0,2,1,0,5,2010,3,2,11.811547477460344,0,0,0
27,28,20,2,4.584967478670572,9.348187438668308,0,1,3,3,0,3,0,14,2,0,0,1,8,5,3,2,0,0,8,8,4,200.0,1,3,2,0,4,4,2,1218,6,0,486,1704,0,0,1,3,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,2,7,4,1,2,0,2.0,2,3,772,3,3,2,0,50,0,0,0,0,0,2,1,0,5,2010,3,2,12.631340380934517,0,0,0
28,29,20,2,3.8501476017100584,9.700207901150696,0,1,0,3,0,1,0,11,2,0,0,1,5,6,49,9,0,0,4,4,2,0.0,3,3,1,4,4,1,1,1277,6,0,207,1484,0,4,1,3,7.3777589082278725,0,0,7.3777589082278725,1,0,1,0,2,1,3,6,4,2,2,0,49.0,2,1,319,3,3,2,288,258,0,0,0,0,0,2,1,0,12,2006,3,2,12.24288661865289,0,0,0
29,30,30,3,4.0943445622221,8.752107198329362,0,1,0,3,0,3,0,2,1,1,0,1,4,6,81,58,0,0,4,4,2,0.0,3,3,0,4,4,4,6,0,6,0,520,520,0,1,0,3,6.253828811575473,0,0,6.253828811575473,0,0,1,0,1,1,1,4,4,0,3,3,88.0,3,1,240,0,3,2,49,0,87,0,0,0,0,2,1,0,5,2008,3,2,11.134589024250317,0,0,0
30,31,70,4,3.912023005428146,9.047821442478408,0,2,3,3,0,3,0,8,1,0,0,2,4,4,88,58,2,0,1,1,2,0.0,3,0,0,4,4,4,6,0,6,0,649,649,0,4,0,3,6.47543271670409,668,0,7.183111701743281,0,0,1,0,3,1,3,6,4,0,3,3,88.0,3,1,250,3,0,0,0,54,172,0,0,0,0,3,1,0,7,2008,3,2,10.596634733096073,0,0,0
31,32,20,2,4.23410650459726,9.052984561199976,0,1,0,3,0,1,0,18,2,0,0,1,5,6,42,2,0,0,3,3,2,0.0,3,3,1,4,4,4,6,0,6,0,1228,1228,0,2,1,3,7.113142108707088,0,0,7.113142108707088,0,0,1,1,3,1,2,6,4,0,3,0,42.0,3,1,271,3,3,2,0,65,0,0,0,0,0,3,1,0,6,2008,3,2,11.914047823644255,1,0,0
32,33,20,2,4.442651256490317,9.310095205113175,0,1,3,3,0,0,0,4,2,0,0,1,8,5,1,1,0,0,8,8,2,0.0,1,3,2,0,4,0,6,0,6,0,1234,1234,0,0,1,3,7.1180162044653335,0,0,7.1180162044653335,0,0,2,0,3,1,2,7,4,0,3,0,1.0,2,2,484,3,3,2,0,30,0,0,0,0,0,2,1,0,1,2008,3,2,12.100156419938624,0,0,0
33,34,20,2,4.248495242049359,9.26407069439715,0,1,0,3,0,3,0,11,2,0,0,1,5,5,51,51,1,0,1,1,2,0.0,3,3,1,4,4,4,5,1018,6,0,380,1398,0,2,1,3,7.438383530044307,0,0,7.438383530044307,0,1,1,1,4,1,2,6,4,1,2,0,51.0,2,2,447,3,3,2,0,38,0,0,0,0,0,2,1,0,4,2010,3,2,12.016726473799254,0,0,0
34,35,120,2,4.0943445622221,8.89740886527095,0,1,3,3,0,3,0,14,2,0,4,1,9,5,2,2,1,0,4,4,1,246.0,0,3,2,0,4,4,2,1153,6,0,408,1561,0,0,1,3,7.353081920515432,0,0,7.353081920515432,1,0,2,0,2,1,0,6,4,1,2,0,2.0,0,2,556,3,3,2,203,47,0,0,0,0,0,2,1,0,8,2007,3,2,12.533576212168626,0,0,0
35,36,60,2,4.68213122712422,9.504352368122833,0,1,3,3,0,3,0,14,2,0,0,2,8,5,2,1,0,0,8,8,4,132.0,1,3,2,0,4,0,6,0,6,0,1117,1117,0,0,1,3,7.0317412587631285,1320,0,7.804659297056102,0,0,3,1,4,1,2,9,4,1,2,2,2.0,0,3,691,3,3,2,113,32,0,0,0,0,0,2,1,0,9,2006,3,2,12.641096555879882,0,0,0
36,37,20,2,4.718498871295094,9.2927495082169,0,1,3,3,0,0,0,4,2,0,0,1,5,5,15,14,0,0,8,8,2,0.0,3,3,2,2,4,4,6,0,6,0,1097,1097,0,0,1,3,7.00033446027523,0,0,7.00033446027523,0,0,1,1,3,1,3,6,4,0,3,0,14.0,3,2,672,3,3,2,392,64,0,0,0,0,0,2,1,0,6,2009,3,2,11.884489021402711,0,0,0
37,38,20,2,4.30406509320417,9.05157907959124,0,1,3,3,0,3,0,11,2,0,0,1,5,6,55,19,1,0,9,9,1,650.0,3,3,1,4,4,4,5,1213,6,0,84,1297,0,2,1,3,7.167809184316444,0,0,7.167809184316444,0,1,1,0,3,1,3,5,4,1,5,0,55.0,0,2,498,3,3,2,0,0,0,0,0,0,0,2,1,0,10,2009,3,2,11.938193200374572,0,0,0
38,39,20,2,4.219507705176107,8.977398978181862,0,1,3,3,0,3,0,11,2,0,0,1,5,7,57,3,0,0,8,8,2,0.0,3,1,1,4,4,4,2,731,6,0,326,1057,0,4,1,3,6.963189985870238,0,0,6.963189985870238,1,0,1,0,3,1,2,5,4,0,3,3,57.0,3,1,246,3,3,2,0,52,0,0,0,0,0,2,1,0,1,2010,3,0,11.59910316121128,0,0,0
39,40,90,2,4.174387269895637,8.706159290928861,0,1,3,3,0,3,0,6,2,0,2,1,4,5,53,53,0,0,0,5,2,0.0,3,3,2,3,2,2,4,0,3,0,0,0,0,4,0,2,7.049254841255837,0,0,7.049254841255837,0,0,2,0,2,2,1,6,4,0,3,4,28.0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,6,2008,3,4,11.314474526246391,0,0,1
40,41,20,2,4.430816798843313,9.066239028001926,0,1,3,3,0,3,0,11,2,0,0,1,6,5,41,41,0,0,9,9,1,101.0,3,3,1,4,4,4,5,643,6,0,445,1088,0,0,1,3,7.188412736496954,0,0,7.188412736496954,0,0,2,0,3,1,3,6,4,1,5,0,41.0,2,2,440,3,3,2,0,138,0,0,0,0,0,1,1,0,12,2006,3,0,11.982929094215963,0,0,0
41,42,20,2,4.74493212836325,9.735364715141987,0,1,3,3,0,3,0,22,2,0,0,1,5,6,48,48,0,0,8,8,2,0.0,3,1,1,4,4,1,1,967,6,0,383,1350,0,2,1,3,7.191429330036379,0,0,7.191429330036379,0,1,1,1,2,1,3,5,4,2,2,0,48.0,2,1,308,3,3,1,0,104,0,0,0,0,0,2,1,0,7,2007,3,2,12.043553716032399,0,0,0
42,43,85,2,4.23410650459726,9.124782483614537,0,1,0,3,0,1,0,19,2,0,0,4,5,7,24,24,0,0,3,3,2,0.0,3,3,1,2,4,0,0,747,2,93,0,840,0,2,1,3,6.784457062637643,0,0,6.784457062637643,1,0,1,0,2,1,2,5,4,0,3,0,24.0,2,2,504,3,2,2,240,0,0,0,0,0,0,3,1,0,12,2007,3,2,11.877568578558138,1,0,0
43,44,20,2,4.23410650459726,9.126958763037132,0,1,0,3,0,1,0,4,2,0,0,1,5,6,33,28,1,0,8,8,2,0.0,3,3,1,2,4,0,3,280,1,491,167,938,0,4,1,3,6.843749949006225,0,0,6.843749949006225,1,0,1,0,3,1,3,5,4,0,3,3,31.0,3,1,308,3,3,2,145,0,0,0,0,0,0,3,1,0,7,2008,3,2,11.777210959615614,1,0,0
44,45,20,2,4.248495242049359,8.980298078970817,0,1,3,3,0,3,0,11,2,0,0,1,5,6,47,47,0,0,1,9,2,0.0,3,3,1,4,4,4,0,179,1,506,465,1150,0,0,1,0,7.047517221357296,0,0,7.047517221357296,1,0,1,0,3,1,3,6,4,0,3,0,47.0,2,1,300,3,3,2,0,0,0,0,0,0,0,2,1,0,5,2006,3,2,11.856515169360305,0,0,0
45,46,120,2,4.110873864173311,8.943506132037239,0,1,3,3,0,3,0,14,2,0,4,1,9,5,5,5,1,0,4,4,1,412.0,0,3,2,0,4,4,2,456,6,0,1296,1752,0,0,1,3,7.468513271496337,0,0,7.468513271496337,1,0,2,0,2,1,0,6,4,1,2,0,5.0,2,2,576,3,3,2,196,82,0,0,0,0,0,2,1,0,2,2010,3,2,12.675763725937609,0,0,0
46,47,50,2,3.871201010907891,9.458917724547202,0,1,0,3,0,1,0,10,2,0,0,0,7,5,6,6,0,0,8,8,2,0.0,1,3,2,0,4,4,2,1351,6,0,83,1434,0,0,1,3,7.325148957955575,631,0,7.67275789664251,1,0,1,1,1,1,2,6,4,1,0,0,6.0,2,2,670,3,3,2,168,43,0,0,198,0,0,2,1,0,8,2009,3,0,12.387085012375499,0,0,0
47,48,20,0,4.430816798843313,9.314339961994667,0,1,3,3,0,3,0,20,2,0,0,1,8,5,1,1,0,0,8,8,2,0.0,1,3,2,2,4,0,2,24,6,0,1632,1656,0,0,1,3,7.412160334945205,0,0,7.412160334945205,0,0,2,0,3,1,2,7,4,0,3,0,1.0,2,3,826,3,3,2,0,146,0,0,0,0,0,2,1,0,7,2007,3,2,12.428015476267865,0,0,0
48,49,190,3,3.4965075614664802,8.40200678160712,0,1,3,3,0,3,0,15,2,0,1,2,4,5,89,1,0,0,4,4,2,0.0,3,3,0,4,4,4,6,0,6,0,736,736,0,2,1,3,6.601230118728877,716,0,7.280697195384741,0,0,2,0,2,3,3,8,4,0,3,4,29.0,1,0,0,1,1,0,0,0,102,0,0,0,0,2,1,0,6,2009,1,3,11.635143097694478,0,0,1
49,50,20,2,4.189654742026425,8.954415331137593,0,1,3,3,0,3,0,18,2,0,0,1,5,7,41,41,0,0,3,3,2,0.0,3,3,1,4,4,4,1,763,6,0,192,955,0,0,1,3,6.86171134048073,0,0,6.86171134048073,1,0,1,0,3,1,3,6,4,0,3,0,41.0,3,1,386,3,3,2,0,0,0,0,0,0,0,3,1,0,1,2007,3,2,11.751942365440728,0,0,0
50,51,60,2,4.23410650459726,9.537411412656335,0,1,1,3,0,0,0,7,2,0,0,2,6,6,10,10,0,0,8,8,2,0.0,3,3,2,2,4,0,2,182,6,0,612,794,0,2,1,3,6.677083461247136,676,0,7.293017679772782,0,1,2,0,3,1,3,6,4,0,3,0,10.0,0,2,388,3,3,2,0,75,0,0,0,0,0,2,1,0,7,2007,3,2,12.083905011555967,1,0,0
51,52,50,3,3.9512437185814275,8.738735461363474,0,1,3,3,0,3,0,2,2,0,0,0,6,6,72,56,0,0,9,9,2,0.0,3,3,2,4,4,4,6,0,6,0,816,816,0,4,1,3,6.704414354964107,0,360,7.069874128458572,0,0,1,0,3,1,3,6,4,1,2,3,21.0,3,2,528,3,3,2,112,0,0,0,0,0,0,3,0,400,9,2006,3,2,11.648330101976432,0,0,0
52,53,90,3,4.700480365792417,9.044521887281242,1,1,1,0,0,0,1,8,5,0,2,1,5,5,47,47,0,0,9,9,2,0.0,2,3,1,2,4,1,3,104,4,712,0,816,0,4,0,3,6.704414354964107,0,0,6.704414354964107,1,0,1,0,2,1,3,5,4,0,3,5,47.0,3,2,516,3,3,2,106,0,0,0,0,0,0,2,1,0,5,2010,3,2,11.608235644774552,0,0,0
53,54,20,2,4.219507705176107,10.825183649068833,0,1,0,2,0,3,0,16,2,0,0,1,9,5,25,19,0,1,10,10,2,0.0,1,3,1,0,4,1,2,1810,6,0,32,1842,0,2,1,3,7.518607216815252,0,0,7.518607216815252,2,0,0,1,0,1,2,5,4,1,2,0,25.0,0,3,894,3,3,2,857,72,0,0,0,0,0,2,1,0,11,2006,3,2,12.86099861326992,0,0,0
54,55,80,2,4.0943445622221,8.872627365918836,0,1,3,0,0,3,1,11,2,0,0,5,5,5,52,52,0,0,4,4,2,0.0,3,3,1,4,4,4,0,384,6,0,0,384,0,4,1,3,7.215239978730097,0,0,7.215239978730097,0,0,1,0,3,1,3,6,0,1,5,3,45.0,3,2,572,3,3,2,0,50,0,0,0,0,0,3,1,0,2,2007,3,2,11.77528972943772,0,0,0
55,56,20,2,4.605170185988092,9.227689010310796,0,1,0,3,0,3,0,11,2,0,0,1,6,5,44,44,0,0,3,5,1,272.0,3,3,1,4,4,4,1,490,6,0,935,1425,0,2,1,3,7.261927092702751,0,0,7.261927092702751,0,0,2,0,3,1,3,7,4,1,2,0,44.0,2,2,576,3,3,2,0,0,0,407,0,0,0,2,1,0,7,2008,3,2,12.103486056755072,0,0,0
56,57,160,0,3.1780538303479458,7.8804263442924,0,2,3,3,0,3,0,20,2,0,3,2,8,5,10,9,0,0,4,4,1,456.0,1,3,2,2,4,4,2,649,6,0,321,970,0,0,1,3,6.890609120147166,756,0,7.461065514354283,1,0,2,1,3,1,2,7,4,0,3,0,10.0,0,2,480,3,3,2,115,0,0,0,0,0,0,2,1,0,8,2009,3,0,12.058152515453552,0,0,0
57,58,60,2,4.48863636973214,9.36263218231844,0,1,0,3,0,0,0,4,2,0,0,2,7,5,2,2,0,0,8,8,2,0.0,1,3,2,2,4,4,6,0,6,0,860,860,0,0,1,3,6.756932389247553,860,0,7.450079569807499,0,0,2,1,3,1,2,7,4,0,3,0,2.0,2,2,565,3,3,2,0,70,0,0,0,0,0,2,1,0,8,2006,3,2,12.188417710291453,0,0,0
58,59,60,2,4.189654742026425,9.523836379320944,0,1,1,1,0,1,0,21,2,0,0,2,10,5,0,0,1,0,8,8,1,1031.0,0,3,2,0,4,1,6,0,6,0,1410,1410,0,0,1,3,7.262628600974241,1519,0,7.987864096085687,0,0,3,1,3,1,2,10,4,1,2,2,0.0,0,3,641,3,3,2,192,0,37,0,0,0,0,2,1,0,10,2006,1,3,12.991753427493052,0,0,0
59,60,20,2,4.0943445622221,8.881836305004146,0,1,3,0,0,3,0,4,2,0,0,1,5,7,36,36,0,0,3,3,2,0.0,3,3,1,4,4,0,0,632,6,0,148,780,0,0,1,3,6.659293919683638,0,0,6.659293919683638,0,0,1,0,2,1,3,4,4,0,3,3,35.0,3,1,352,3,3,2,196,0,0,0,0,0,0,3,1,0,1,2008,3,2,11.73526869611367,0,0,0
60,61,20,2,4.143134726391533,9.478227817099784,0,1,3,3,0,3,0,19,5,0,0,1,6,5,2,2,0,0,8,8,2,0.0,3,3,2,2,4,4,0,941,6,0,217,1158,0,0,1,3,7.05444965813294,0,0,7.05444965813294,1,0,1,1,3,1,2,5,4,0,3,3,0.0,3,2,576,3,3,2,0,50,0,0,0,0,0,2,1,0,5,2006,1,3,11.970350312009105,0,0,0
61,62,75,3,4.0943445622221,8.881836305004146,0,1,3,3,0,3,0,8,2,0,0,3,5,7,87,11,0,0,4,4,2,0.0,3,3,0,4,0,4,6,0,6,0,530,530,0,4,0,3,6.364750756851911,530,0,7.01301578963963,0,0,1,0,3,1,1,6,4,0,3,3,72.0,3,1,288,3,3,0,0,0,144,0,0,0,0,2,1,0,3,2007,3,2,11.522875795823397,0,0,0
